id,contestId,index,title,rating,tags
2181K,2181,K,Knit the Grid,3500.0,"['2-sat', 'constructive algorithms', 'graphs', 'matrices']"
2181J,2181,J,Jinx or Jackpot,2300.0,"['brute force', 'dp', 'math', 'probabilities']"
2181I,2181,I,Irrigation Interlock,3500.0,['geometry']
2181H,2181,H,Honey Cake,1200.0,"['brute force', 'math', 'number theory']"
2181G,2181,G,Greta's Game,2400.0,"['binary search', 'dp', 'graphs', 'greedy', 'math']"
2181F,2181,F,Fragmented Nim,1600.0,['games']
2181E,2181,E,Elevator Against Humanity,2900.0,"['brute force', 'constructive algorithms', 'greedy', 'sortings']"
2181D,2181,D,Doorway,2000.0,"['binary search', 'data structures', 'sortings']"
2181C,2181,C,Cacti Classification,3200.0,"['binary search', 'constructive algorithms', 'interactive', 'math']"
2181B,2181,B,Battle of Arrays,1400.0,"['data structures', 'games', 'greedy']"
2181A,2181,A,Alphabet City,1300.0,"['binary search', 'math', 'strings']"
2180H2,2180,H2,Bug Is Feature (Conditional Version),3500.0,['games']
2180H1,2180,H1,Bug Is Feature (Unconditional Version),3400.0,['games']
2180G,2180,G,Balance,3500.0,"['bitmasks', 'combinatorics', 'implementation', 'math']"
2180F2,2180,F2,Control Car (Hard Version),3200.0,"['combinatorics', 'dp', 'matrices', 'probabilities']"
2180F1,2180,F1,Control Car (Easy Version),2800.0,"['combinatorics', 'dp', 'probabilities']"
2180E,2180,E,No Effect XOR,2300.0,"['bitmasks', 'divide and conquer', 'dp', 'greedy', 'math']"
2180D,2180,D,Insolvable Disks,1900.0,"['data structures', 'dp', 'greedy', 'math']"
2180C,2180,C,XOR-factorization,1900.0,"['bitmasks', 'constructive algorithms', 'dp', 'greedy', 'number theory']"
2180B,2180,B,Ashmal,800.0,"['greedy', 'strings']"
2180A,2180,A,Carnival Wheel,800.0,"['brute force', 'number theory']"
2179H,2179,H,Blackslex and Plants,,"['bitmasks', 'data structures', 'dp', 'implementation', 'math']"
2179G,2179,G,Blackslex and Penguin Migration,,"['brute force', 'interactive', 'math']"
2179F,2179,F,Blackslex and Another RGB Walking,,"['constructive algorithms', 'graphs', 'interactive', 'number theory', 'trees']"
2179E,2179,E,Blackslex and Girls,,"['constructive algorithms', 'geometry', 'math']"
2179D,2179,D,Blackslex and Penguin Civilization,,"['bitmasks', 'constructive algorithms', 'greedy', 'math']"
2179C,2179,C,Blackslex and Number Theory,,"['implementation', 'math', 'number theory', 'sortings']"
2179B,2179,B,Blackslex and Showering,,"['dp', 'greedy', 'implementation']"
2179A,2179,A,Blackslex and Password,,"['math', 'strings']"
2178I,2178,I,Numbers or Fireworks,,"['bitmasks', 'combinatorics', 'dp', 'graphs']"
2178H,2178,H,Create or Duplicate,,"['bitmasks', 'graphs', 'number theory', 'shortest paths']"
2178G,2178,G,deCH OR Dations,,"['bitmasks', 'data structures', 'dp', 'hashing', 'probabilities']"
2178F,2178,F,Conquer or of Forest,,"['combinatorics', 'math', 'trees']"
2178E,2178,E,Flatten or Concatenate,,"['binary search', 'divide and conquer', 'interactive']"
2178D,2178,D,Xmas or Hysteria,,"['constructive algorithms', 'greedy', 'implementation', 'math']"
2178C,2178,C,First or Second,,"['dp', 'greedy', 'implementation']"
2178B,2178,B,Impost or Sus,,"['dp', 'greedy', 'implementation', 'strings']"
2178A,2178,A,Yes or Yes,,"['greedy', 'strings']"
2176F,2176,F,Omega Numbers,2400.0,"['bitmasks', 'combinatorics', 'dp', 'math', 'number theory']"
2176E,2176,E,Remove at the lowest cost,2400.0,"['data structures', 'dfs and similar', 'dp', 'dsu', 'greedy', 'implementation', 'trees']"
2176D,2176,D,Fibonacci Paths,1800.0,"['data structures', 'dp', 'graphs', 'sortings']"
2176C,2176,C,Odd Process,1300.0,"['greedy', 'sortings']"
2176B,2176,B,Optimal Shifts,1000.0,"['bitmasks', 'greedy', 'strings']"
2176A,2176,A,Operations with Inversions,800.0,"['greedy', 'implementation', 'math']"
2175B,2175,B,XOR Array,1300.0,"['constructive algorithms', 'math']"
2175A,2175,A,Little Fairy's Painting,800.0,['implementation']
2174F,2174,F,Mosaic Tree,2800.0,"['combinatorics', 'dp', 'fft', 'math', 'trees']"
2174E2,2174,E2,Game of Scientists (Version 2),3200.0,"['binary search', 'chinese remainder theorem', 'dfs and similar', 'interactive', 'math']"
2174E1,2174,E1,Game of Scientists (Version 1),3100.0,"['chinese remainder theorem', 'constructive algorithms', 'interactive', 'math']"
2174D,2174,D,Secret Message,3400.0,"['data structures', 'dp', 'greedy', 'trees']"
2174C2,2174,C2,Beautiful Patterns (Hard Version),2500.0,"['combinatorics', 'math', 'probabilities']"
2174C1,2174,C1,Beautiful Patterns (Easy Version),2400.0,"['combinatorics', 'math', 'probabilities']"
2174B,2174,B,Wishing Cards,1900.0,['dp']
2174A,2174,A,Needle in a Haystack,1200.0,"['greedy', 'strings', 'two pointers']"
2173F,2173,F,Isla's Memory Thresholds,2600.0,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'math']"
2173E,2173,E,Shiro's Mirror Duel,2200.0,"['constructive algorithms', 'greedy', 'interactive', 'probabilities', 'sortings']"
2173D,2173,D,Taiga's Carry Chains,1900.0,"['bitmasks', 'brute force', 'dp', 'greedy', 'math']"
2173C,2173,C,Kanade's Perfect Multiples,1400.0,"['brute force', 'constructive algorithms', 'greedy', 'number theory']"
2173B,2173,B,Niko's Tactical Cards,1100.0,"['dp', 'greedy', 'math']"
2173A,2173,A,Sleeping Through Classes,800.0,"['greedy', 'implementation']"
2172N,2172,N,New Kingdom,2800.0,"['constructive algorithms', 'graphs', 'implementation']"
2172M,2172,M,Maximum Distance To Port,1300.0,"['graphs', 'shortest paths']"
2172L,2172,L,Maximum Color Segment,2300.0,"['dp', 'implementation']"
2172K,2172,K,Kindergarten Homework,2100.0,"['implementation', 'strings']"
2172J,2172,J,Sliding Tiles,2300.0,"['data structures', 'divide and conquer', 'dsu']"
2172I,2172,I,Birthday,2000.0,['geometry']
2172H,2172,H,Shuffling Cards with Problem Solver 68!,2500.0,"['hashing', 'string suffix structures', 'strings']"
2172G,2172,G,Gene Editor,3300.0,[]
2172F,2172,F,Cluster Computing System,1600.0,"['graphs', 'greedy', 'math']"
2172E,2172,E,Number Maze,1200.0,['implementation']
2172D,2172,D,Divisor Card Game,3100.0,"['combinatorics', 'dp']"
2172C,2172,C,Circles Are Far from Each Other,3100.0,"['binary search', 'greedy']"
2172B,2172,B,Buses,1800.0,"['greedy', 'sortings']"
2172A,2172,A,ASCII Art Contest,800.0,['implementation']
2171H,2171,H,Shiori Miyagi and Maximum Array Score,2400.0,"['binary search', 'data structures', 'dp', 'sortings']"
2171G,2171,G,Sakura Adachi and Optimal Sequences,2000.0,"['bitmasks', 'combinatorics', 'greedy', 'math']"
2171F,2171,F,Rae Taylor and Trees (hard version),1600.0,"['binary search', 'constructive algorithms', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'trees']"
2171E,2171,E,Anisphia Wynn Palettia and Good Permutations,2000.0,"['constructive algorithms', 'greedy', 'number theory']"
2171D,2171,D,Rae Taylor and Trees (easy version),1400.0,"['binary search', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'trees']"
2171C2,2171,C2,Renako Amaori and XOR Game (hard version),1400.0,"['bitmasks', 'games', 'greedy']"
2171C1,2171,C1,Renako Amaori and XOR Game (easy version),1100.0,"['bitmasks', 'games', 'greedy']"
2171B,2171,B,Yuu Koito and Minimum Absolute Sum,900.0,['math']
2171A,2171,A,Shizuku Hoshikawa and Farm Legs,800.0,"['brute force', 'math']"
2170F,2170,F,Build XOR on a Segment,2600.0,"['bitmasks', 'dp']"
2170E,2170,E,Binary Strings and Blocks,2100.0,"['combinatorics', 'data structures', 'dp']"
2170D,2170,D,Almost Roman,2200.0,"['constructive algorithms', 'greedy', 'implementation']"
2170C,2170,C,Quotient and Remainder,1300.0,"['binary search', 'greedy', 'two pointers']"
2170B,2170,B,Addition on a Segment,1200.0,"['greedy', 'math']"
2170A,2170,A,Maximum Neighborhood,800.0,"['bitmasks', 'brute force', 'greedy', 'implementation', 'math']"
2169F,2169,F,Subsequence Problem,2700.0,"['combinatorics', 'dp', 'fft', 'math']"
2169E,2169,E,Points Selection,2400.0,"['dp', 'greedy']"
2169D2,2169,D2,Removal of a Sequence (Hard Version),2100.0,"['binary search', 'divide and conquer', 'greedy', 'implementation', 'math', 'number theory']"
2169D1,2169,D1,Removal of a Sequence (Easy Version),1500.0,"['binary search', 'implementation', 'math', 'number theory']"
2169C,2169,C,Range Operation,1300.0,"['dp', 'greedy', 'math', 'two pointers']"
2169B,2169,B,Drifting Away,1100.0,"['greedy', 'implementation']"
2169A,2169,A,Alice and Bob,900.0,"['greedy', 'implementation']"
2168C,2168,C,Intercepting Butterflies,,"['bitmasks', 'constructive algorithms', 'graphs', 'interactive']"
2168B,2168,B,Locate,,"['binary search', 'combinatorics', 'constructive algorithms', 'greedy', 'interactive']"
2168A2,2168,A2,Encode and Decode (Hard Version),,"['bitmasks', 'interactive', 'math']"
2168A1,2168,A1,Encode and Decode (Easy Version),,"['constructive algorithms', 'interactive']"
2167G,2167,G,Mukhammadali and the Smooth Array,1600.0,"['data structures', 'dp']"
2167F,2167,F,"Tree, TREE!!!",1600.0,"['dfs and similar', 'dp', 'math', 'trees']"
2167E,2167,E,khba Loves to Sleep!,1600.0,"['binary search', 'data structures', 'geometry', 'greedy', 'implementation']"
2167D,2167,D,Yet Another Array Problem,1000.0,"['brute force', 'implementation', 'math', 'number theory']"
2167C,2167,C,Isamatdin and His Magic Wand!,800.0,"['constructive algorithms', 'greedy', 'implementation', 'sortings']"
2167B,2167,B,Your Name,800.0,"['sortings', 'strings']"
2167A,2167,A,Square?,800.0,"['math', 'sortings']"
2166B,2166,B,Tab Closing,900.0,['math']
2166A,2166,A,Same Difference,800.0,"['brute force', 'greedy', 'strings']"
2165F,2165,F,Arctic Acquisition,3500.0,"['data structures', 'greedy']"
2165E,2165,E,Rainbow Branch,3200.0,"['constructive algorithms', 'dp', 'greedy', 'trees']"
2165D,2165,D,Path Split,2500.0,"['graph matchings', 'greedy']"
2165C,2165,C,Binary Wine,2000.0,"['bitmasks', 'greedy', 'math']"
2165B,2165,B,Marble Council,1900.0,"['dp', 'math', 'sortings']"
2165A,2165,A,Cyclic Merging,1300.0,"['constructive algorithms', 'greedy']"
2164H,2164,H,PalindromePalindrome,3400.0,"['data structures', 'strings']"
2164G,2164,G,Pointless Machine,3300.0,"['constructive algorithms', 'graphs', 'interactive', 'trees']"
2164F2,2164,F2,Chain Prefix Rank (Hard Version),2900.0,"['binary search', 'combinatorics', 'data structures', 'dfs and similar', 'dp', 'graphs', 'math', 'trees']"
2164F1,2164,F1,Chain Prefix Rank (Easy Version),2600.0,"['combinatorics', 'dfs and similar', 'dp', 'math', 'trees']"
2164E,2164,E,Journey,2300.0,"['data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy']"
2164D,2164,D,Copy String,1800.0,"['greedy', 'implementation', 'strings', 'two pointers']"
2164C,2164,C,Dungeon,1400.0,"['binary search', 'brute force', 'data structures', 'greedy', 'sortings']"
2164B,2164,B,Even Modulo Pair,1000.0,"['brute force', 'math', 'number theory']"
2164A,2164,A,Sequence Game,800.0,"['brute force', 'sortings']"
2163E,2163,E,Plegma,2700.0,"['bitmasks', 'combinatorics', 'interactive']"
2163D2,2163,D2,Diadrash (Hard Version),2500.0,"['binary search', 'interactive', 'math', 'sortings']"
2163D1,2163,D1,Diadrash (Easy Version),2100.0,"['binary search', 'brute force', 'divide and conquer', 'implementation', 'interactive']"
2163C,2163,C,Monopati,1500.0,"['brute force', 'combinatorics', 'dp', 'math', 'two pointers']"
2163B,2163,B,Siga ta Kymata,1700.0,"['constructive algorithms', 'greedy', 'implementation', 'math']"
2163A,2163,A,Souvlaki VS. Kalamaki,800.0,"['brute force', 'greedy', 'math', 'sortings']"
2162H,2162,H,Beautiful Problem,2900.0,['dp']
2162G,2162,G,Beautiful Tree,2200.0,"['constructive algorithms', 'math', 'probabilities', 'trees']"
2162F,2162,F,Beautiful Intervals,2100.0,"['constructive algorithms', 'greedy']"
2162E,2162,E,Beautiful Palindromes,1600.0,"['constructive algorithms', 'greedy', 'schedules']"
2162D,2162,D,Beautiful Permutation,1400.0,"['binary search', 'interactive']"
2162C,2162,C,Beautiful XOR,1100.0,"['bitmasks', 'constructive algorithms', 'greedy']"
2162B,2162,B,Beautiful String,1000.0,"['brute force', 'constructive algorithms']"
2162A,2162,A,Beautiful Average,800.0,"['brute force', 'greedy']"
2161H,2161,H,Cycle Sort,3500.0,['data structures']
2161G,2161,G,Bitwise And Equals,3500.0,"['bitmasks', 'greedy']"
2161F,2161,F,SubMST,3000.0,"['combinatorics', 'graphs', 'trees']"
2161E,2161,E,Left is Always Right,2400.0,"['combinatorics', 'implementation', 'math']"
2161D,2161,D,Locked Out,2100.0,"['binary search', 'data structures', 'dp', 'greedy']"
2161C,2161,C,Loyalty,1200.0,"['constructive algorithms', 'greedy', 'sortings', 'two pointers']"
2161B,2161,B,Make Connected,1700.0,"['brute force', 'implementation']"
2161A,2161,A,Round Trip,800.0,"['games', 'greedy', 'implementation', 'math']"
2160C,2160,C,Reverse XOR,1300.0,['bitmasks']
2160B,2160,B,Distinct Elements,1100.0,"['greedy', 'math']"
2160A,2160,A,MEX Partition,800.0,['math']
2159F,2159,F,Grand Finale: Snakes,3500.0,"['binary search', 'interactive', 'ternary search']"
2159E,2159,E,Super-Short-Polynomial-San,3500.0,"['math', 'meet-in-the-middle']"
2159D2,2159,D2,Inverse Minimum Partition (Hard Version),3200.0,"['dp', 'greedy', 'math']"
2159D1,2159,D1,Inverse Minimum Partition (Easy Version),2500.0,"['binary search', 'brute force', 'dp', 'geometry', 'greedy', 'math', 'two pointers']"
2159C,2159,C,Twin Polynomials,2300.0,"['combinatorics', 'graph matchings', 'math']"
2159B,2159,B,Rectangles,2100.0,"['brute force', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'two pointers']"
2159A,2159,A,MAD Interactive Problem,1700.0,"['constructive algorithms', 'implementation', 'interactive']"
2158F2,2158,F2,Distinct GCDs (Hard Version),3000.0,"['combinatorics', 'constructive algorithms', 'graphs', 'math', 'number theory', 'number theory']"
2158F1,2158,F1,Distinct GCDs (Easy Version),2600.0,"['constructive algorithms', 'graphs', 'math', 'number theory']"
2158E,2158,E,Sink,2600.0,"['data structures', 'divide and conquer', 'dsu', 'graphs', 'implementation']"
2158D,2158,D,Palindrome Flipping,2000.0,"['brute force', 'constructive algorithms', 'graphs', 'implementation', 'shortest paths', 'strings']"
2158C,2158,C,Annoying Game,1400.0,"['dp', 'games', 'greedy']"
2158B,2158,B,Split,1200.0,"['constructive algorithms', 'greedy', 'math']"
2158A,2158,A,Suspension,800.0,"['constructive algorithms', 'greedy', 'math']"
2157I,2157,I,Hyper Smawk Bros,3500.0,"['dp', 'dp', 'games']"
2157H,2157,H,Keygen 3,3200.0,"['brute force', 'combinatorics', 'constructive algorithms', 'dfs and similar', 'math']"
2157G,2157,G,Isaac's Queries,2800.0,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'divide and conquer', 'dp', 'greedy', 'interactive', 'math', 'probabilities']"
2157F,2157,F,Git Gud,2400.0,"['brute force', 'constructive algorithms', 'divide and conquer', 'math', 'ternary search']"
2157E,2157,E,Adjusting Drones,1900.0,"['binary search', 'brute force', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'sortings']"
2157D,2157,D,Billion Players Game,1600.0,"['binary search', 'greedy', 'math', 'sortings', 'ternary search', 'two pointers']"
2157C,2157,C,Meximum Array 2,1400.0,"['constructive algorithms', 'greedy', 'implementation', 'math']"
2157B,2157,B,Expansion Plan 2,900.0,"['implementation', 'math']"
2157A,2157,A,Dungeon Equilibrium,800.0,"['greedy', 'implementation', 'sortings']"
2156F2,2156,F2,Strange Operation (Hard Version),3000.0,"['data structures', 'greedy', 'trees']"
2156F1,2156,F1,Strange Operation (Easy Version),2200.0,"['brute force', 'data structures', 'greedy', 'implementation', 'sortings']"
2156E,2156,E,Best Time to Buy and Sell Stock,2500.0,"['binary search', 'brute force', 'data structures', 'dp', 'games', 'graphs', 'greedy']"
2156D,2156,D,Find the Last Number,1900.0,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']"
2156C,2156,C,Maximum GCD on Whiteboard,1400.0,"['greedy', 'math', 'number theory']"
2156B,2156,B,Strange Machine,1000.0,"['binary search', 'brute force', 'greedy', 'implementation']"
2156A,2156,A,Pizza Time,800.0,"['brute force', 'constructive algorithms', 'greedy']"
2155F,2155,F,Juan's Colorful Tree,2800.0,"['data structures', 'dfs and similar', 'dfs and similar', 'dsu', 'graphs', 'graphs', 'meet-in-the-middle', 'trees']"
2155E,2155,E,Mimo & Yuyu,2200.0,"['games', 'greedy', 'math']"
2155D,2155,D,Batteries,1800.0,"['brute force', 'constructive algorithms', 'graph matchings', 'graphs', 'interactive', 'math']"
2155C,2155,C,The Ancient Wizards' Capes,1500.0,"['brute force', 'greedy', 'implementation']"
2155B,2155,B,Abraham's Great Escape,1100.0,"['constructive algorithms', 'graphs']"
2155A,2155,A,El fucho,800.0,"['implementation', 'math']"
2154F2,2154,F2,Bombing (Hard Version),3300.0,"['combinatorics', 'dp']"
2154F1,2154,F1,Bombing (Easy Version),2700.0,"['brute force', 'combinatorics', 'constructive algorithms', 'implementation', 'math']"
2154E,2154,E,No Mind To Think,2500.0,"['binary search', 'divide and conquer', 'greedy', 'sortings', 'ternary search', 'two pointers']"
2154D,2154,D,Catshock,1900.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees', 'two pointers']"
2154C2,2154,C2,No Cost Too Great (Hard Version),2000.0,"['greedy', 'math', 'number theory']"
2154C1,2154,C1,No Cost Too Great (Easy Version),1400.0,"['greedy', 'implementation', 'math', 'number theory']"
2154B,2154,B,Make it Zigzag,1000.0,"['constructive algorithms', 'greedy']"
2154A,2154,A,Notelock,800.0,"['greedy', 'two pointers']"
2153F,2153,F,Odd Queries on Odd Array,2900.0,"['bitmasks', 'brute force', 'data structures', 'implementation', 'trees']"
2153E,2153,E,Zero Trailing Factorial,2400.0,"['brute force', 'math', 'number theory']"
2153D,2153,D,Not Alone,1800.0,"['dp', 'greedy']"
2153C,2153,C,Symmetrical Polygons,1500.0,"['constructive algorithms', 'geometry', 'greedy', 'implementation', 'sortings']"
2153B,2153,B,Bitwise Reversion,800.0,"['bitmasks', 'greedy']"
2153A,2153,A,Circle of Apple Trees,800.0,"['greedy', 'sortings']"
2152H2,2152,H2,Victorious Coloring (Hard Version),3500.0,"['data structures', 'greedy', 'schedules']"
2152H1,2152,H1,Victorious Coloring (Easy Version),2900.0,"['dfs and similar', 'dp', 'greedy']"
2152G,2152,G,Query Jungle,2900.0,"['data structures', 'implementation', 'math', 'matrices', 'trees']"
2152F,2152,F,Triple Attack,2500.0,"['data structures', 'greedy']"
2152E,2152,E,Monotone Subsequence,2100.0,"['constructive algorithms', 'graphs', 'greedy', 'interactive', 'math']"
2152D,2152,D,Division Versus Addition,1700.0,"['games', 'greedy', 'math']"
2152C,2152,C,Triple Removal,1400.0,"['data structures', 'greedy', 'math']"
2152B,2152,B,Catching the Krug,1300.0,['games']
2152A,2152,A,Increase or Smash,800.0,"['greedy', 'implementation']"
2151C,2151,C,Incremental Stay,1400.0,"['greedy', 'implementation', 'math']"
2151A,2151,A,Incremental Subarray,800.0,"['math', 'strings']"
2150G,2150,G,Counting Is Fun: The Finale,3500.0,"['combinatorics', 'implementation']"
2150F,2150,F,Cycle Closing,3000.0,"['constructive algorithms', 'graphs', 'implementation', 'shortest paths', 'trees']"
2150E2,2150,E2,Hidden Single (Version 2),2800.0,"['binary search', 'divide and conquer', 'interactive', 'math', 'probabilities']"
2150E1,2150,E1,Hidden Single (Version 1),2600.0,"['divide and conquer', 'interactive', 'math', 'probabilities', 'sortings']"
2150D,2150,D,Attraction Theory,2700.0,"['combinatorics', 'dp', 'math']"
2150C,2150,C,Limited Edition Shop,2100.0,"['data structures', 'dp']"
2150B,2150,B,Grid Counting,1700.0,"['combinatorics', 'implementation', 'math']"
2150A,2150,A,Incremental Path,1300.0,"['data structures', 'hashing', 'implementation']"
2149G,2149,G,Buratsuta 3,2100.0,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'probabilities']"
2149F,2149,F,Nezuko in the Clearing,1900.0,"['binary search', 'math', 'ternary search']"
2149E,2149,E,Hidden Knowledge of the Ancients,1500.0,"['data structures', 'two pointers']"
2149D,2149,D,A and B,1200.0,['strings']
2149C,2149,C,MEX rose,900.0,['greedy']
2149B,2149,B,Unconventional Pairs,800.0,"['greedy', 'sortings']"
2149A,2149,A,Be Positive,800.0,['math']
2148G,2148,G,Farmer John's Last Wish,1900.0,"['binary search', 'data structures', 'math', 'number theory']"
2148F,2148,F,Gravity Falls,1800.0,"['greedy', 'implementation', 'sortings']"
2148E,2148,E,Split,1200.0,"['binary search', 'data structures', 'two pointers']"
2148D,2148,D,Destruction of the Dandelion Fields,1000.0,"['constructive algorithms', 'greedy', 'sortings']"
2148C,2148,C,Pacer,900.0,"['greedy', 'math']"
2148B,2148,B,Lasers,800.0,['geometry']
2148A,2148,A,Sublime Sequence,800.0,"['brute force', 'hashing', 'math']"
2147I2,2147,I2,Longest Increasing Path (Hard Version),3500.0,"['constructive algorithms', 'math']"
2147I1,2147,I1,Longest Increasing Path (Easy Version),3300.0,"['constructive algorithms', 'math']"
2147H,2147,H,Maxflow GCD Coloring,3500.0,"['constructive algorithms', 'flows', 'graphs']"
2147G,2147,G,Modular Tetration,3100.0,"['combinatorics', 'math', 'number theory']"
2147F,2147,F,Exchange Queries,2800.0,"['combinatorics', 'data structures', 'greedy']"
2147E,2147,E,Maximum OR Popcount,2300.0,"['binary search', 'bitmasks', 'brute force', 'data structures', 'greedy']"
2147D,2147,D,Game on Array,1700.0,"['games', 'greedy']"
2147C,2147,C,Rabbits,1500.0,"['constructive algorithms', 'dp', 'greedy', 'implementation']"
2147B,2147,B,Multiple Construction,1000.0,['constructive algorithms']
2147A,2147,A,Shortest Increasing Path,800.0,"['constructive algorithms', 'greedy']"
2146F,2146,F,Bubble Sort,2900.0,"['brute force', 'combinatorics', 'dp']"
2146E,2146,E,Yet Another MEX Problem,2300.0,"['brute force', 'constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'hashing']"
2146D2,2146,D2,Max Sum OR (Hard Version),2000.0,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy']"
2146D1,2146,D1,Max Sum OR (Easy Version),1500.0,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy', 'trees']"
2146C,2146,C,Wrong Binary Search,1300.0,"['binary search', 'constructive algorithms']"
2146B,2146,B,Merging the Sets,1100.0,"['greedy', 'implementation']"
2146A,2146,A,Equal Occurrences,800.0,"['brute force', 'greedy', 'implementation']"
2145G,2145,G,Cost of Coloring,2900.0,"['combinatorics', 'divide and conquer', 'dp', 'fft', 'math']"
2145F,2145,F,Long Journey,2500.0,"['dfs and similar', 'divide and conquer', 'dp', 'graphs', 'greedy', 'math', 'matrices', 'number theory']"
2145E,2145,E,Predicting Popularity,2100.0,"['binary search', 'data structures', 'greedy', 'sortings']"
2145D,2145,D,Inversion Value of a Permutation,1800.0,"['constructive algorithms', 'dfs and similar', 'dp']"
2145C,2145,C,Monocarp's String,1300.0,"['binary search', 'greedy', 'strings']"
2145B,2145,B,Deck of Cards,1000.0,"['greedy', 'implementation']"
2145A,2145,A,Candies for Nephews,800.0,['math']
2144F,2144,F,Bracket Groups,2700.0,"['brute force', 'constructive algorithms', 'dp', 'string suffix structures', 'strings']"
2144E2,2144,E2,Looking at Towers (difficult version),2500.0,"['combinatorics', 'data structures', 'dp']"
2144E1,2144,E1,Looking at Towers (easy version),2200.0,"['combinatorics', 'dp']"
2144D,2144,D,Price Tags,1800.0,"['brute force', 'dp', 'math']"
2144C,2144,C,Non-Descending Arrays,1300.0,"['combinatorics', 'dp', 'math']"
2144B,2144,B,Maximum Cost Permutation,1000.0,"['constructive algorithms', 'greedy']"
2144A,2144,A,Cut the Array,800.0,"['brute force', 'constructive algorithms', 'math', 'number theory']"
2143F,2143,F,Increasing Xor,2700.0,"['bitmasks', 'data structures', 'math']"
2143E,2143,E,Make Good,2400.0,"['constructive algorithms', 'greedy', 'math', 'strings']"
2143D2,2143,D2,Inversion Graph Coloring (Hard Version),2200.0,"['binary search', 'combinatorics', 'data structures', 'dp', 'two pointers']"
2143D1,2143,D1,Inversion Graph Coloring (Easy Version),1800.0,"['combinatorics', 'data structures', 'dp', 'greedy', 'two pointers']"
2143C,2143,C,Max Tree,1300.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']"
2143B,2143,B,Discounts,1000.0,"['greedy', 'sortings', 'two pointers']"
2143A,2143,A,All Lengths Subtraction,800.0,"['brute force', 'two pointers']"
2141I,2141,I,Color the Tree,3500.0,['*special']
2141H,2141,H,Merging Vertices in a Graph,2700.0,"['*special', 'dfs and similar', 'dsu', 'graphs']"
2141G,2141,G,Good Robot Paths,2800.0,"['*special', 'data structures', 'geometry', 'sortings']"
2141F,2141,F,Array Reduction,2200.0,"['*special', 'greedy']"
2141E,2141,E,Perfect Cut,2100.0,"['*special', 'dp', 'greedy']"
